133310	1	3937511	3.938	3937511	1	3937511	0.4583	Bacillus amyloliquefaciens
133311	1	3980199	3.980	3980199	1	3980199	0.4608	Bacillus amyloliquefaciens
133312	2	4001985	4.002	3995227	1	3995227	0.4570	Bacillus amyloliquefaciens
133313	1	3939203	3.939	3939203	1	3939203	0.4582	Bacillus amyloliquefaciens
133314	2	3936866	3.937	3928857	1	3928857	0.4661	Bacillus amyloliquefaciens
133315	1	4238624	4.239	4238624	1	4238624	0.4585	Bacillus amyloliquefaciens
133316	18	4016564	4.017	2172342	1	196335	0.4602	Bacillus amyloliquefaciens
133317	59	4222588	4.223	539727	3	73520	0.4572	Bacillus amyloliquefaciens
133318	24	3944088	3.944	346879	3	161890	0.4662	Bacillus amyloliquefaciens
133319	1	3916828	3.917	3916828	1	3916828	0.4646	Bacillus amyloliquefaciens
133320	1	3942754	3.943	3942754	1	3942754	0.4665	Bacillus amyloliquefaciens
133321	24	3929318	3.929	316294	5	71588	0.4647	Bacillus amyloliquefaciens
133323	8	3908571	3.909	1073793	2	925445	0.4583	Bacillus amyloliquefaciens
133324	21	3921104	3.921	1011938	2	149156	0.4649	Bacillus amyloliquefaciens
133325	39	3989358	3.989	334490	5	73479	0.4644	Bacillus amyloliquefaciens
133327	3	3987635	3.988	3984966	1	3984966	0.4575	Bacillus amyloliquefaciens
133328	1	3953361	3.953	3953361	1	3953361	0.4662	Bacillus amyloliquefaciens
133330	39	3886886	3.887	1011490	2	150492	0.4642	Bacillus amyloliquefaciens
133331	16	3903367	3.903	402368	4	141209	0.4660	Bacillus amyloliquefaciens
133332	86	4173094	4.173	287634	5	36408	0.4583	Bacillus amyloliquefaciens
133335	35	3941805	3.942	313045	4	63887	0.4641	Bacillus amyloliquefaciens
133336	29	3978182	3.978	539889	3	118046	0.4602	Bacillus amyloliquefaciens
133337	48	4089321	4.089	321522	5	71182	0.4600	Bacillus amyloliquefaciens
133338	2	3979925	3.980	3966922	1	3966922	0.4652	Bacillus amyloliquefaciens
133339	14	4023658	4.024	2128428	1	228450	0.4607	Bacillus amyloliquefaciens
133340	2	3935930	3.936	3927922	1	3927922	0.4661	Bacillus amyloliquefaciens
133341	29	4014254	4.014	463701	3	80602	0.4625	Bacillus amyloliquefaciens
133342	30	3968204	3.968	437455	3	64872	0.4570	Bacillus amyloliquefaciens
133343	1	4034636	4.035	4034636	1	4034636	0.4634	Bacillus amyloliquefaciens
133344	1	4005145	4.005	4005145	1	4005145	0.4649	Bacillus amyloliquefaciens
133345	1	4006754	4.007	4006754	1	4006754	0.4647	Bacillus amyloliquefaciens
133346	16	3958833	3.959	437306	4	134221	0.4642	Bacillus amyloliquefaciens
133347	43	3886645	3.887	605575	3	97346	0.4651	Bacillus amyloliquefaciens
133348	26	3765359	3.765	456574	3	104330	0.4612	Bacillus amyloliquefaciens
133349	36	3962751	3.963	685585	3	55985	0.4565	Bacillus amyloliquefaciens
133350	1	3688209	3.688	3688209	1	3688209	0.4625	Bacillus amyloliquefaciens
133351	16	3926774	3.927	1000668	2	307955	0.4612	Bacillus amyloliquefaciens
133352	1	3957164	3.957	3957164	1	3957164	0.4644	Bacillus amyloliquefaciens
133353	1	3989393	3.989	3989393	1	3989393	0.4668	Bacillus amyloliquefaciens
133354	1	3929787	3.930	3929787	1	3929787	0.4650	Bacillus amyloliquefaciens
133355	17	4016659	4.017	982257	2	219720	0.4618	Bacillus amyloliquefaciens
133356	2	4088240	4.088	4070574	1	4070574	0.4593	Bacillus amyloliquefaciens
133357	1	3897521	3.898	3897521	1	3897521	0.4609	Bacillus amyloliquefaciens
133358	34	3906932	3.907	439503	3	126210	0.4602	Bacillus amyloliquefaciens
133359	12	3810180	3.810	1001695	2	146236	0.4647	Bacillus amyloliquefaciens
133360	54	3855530	3.856	210952	5	49179	0.4653	Bacillus amyloliquefaciens
133361	6	4200306	4.200	635679	3	546935	0.4259	Bacillus amyloliquefaciens
133362	1	4046611	4.047	4046611	1	4046611	0.4654	Bacillus amyloliquefaciens
133363	1	4041665	4.042	4041665	1	4041665	0.4643	Bacillus amyloliquefaciens
133364	1	3982905	3.983	3982905	1	3982905	0.4641	Bacillus amyloliquefaciens
133365	2	4103824	4.104	4042190	1	4042190	0.4644	Bacillus amyloliquefaciens
133366	22	3922513	3.923	547994	3	122538	0.4643	Bacillus amyloliquefaciens
133367	26	3947065	3.947	967405	2	66650	0.4553	Bacillus amyloliquefaciens
133368	1	3919798	3.920	3919798	1	3919798	0.4667	Bacillus amyloliquefaciens
133370	77	3792988	3.793	875453	2	232981	0.4607	Bacillus amyloliquefaciens
133371	1	4009619	4.010	4009619	1	4009619	0.4592	Bacillus amyloliquefaciens
133372	1	4002836	4.003	4002836	1	4002836	0.4599	Bacillus amyloliquefaciens
133373	1	4240930	4.241	4240930	1	4240930	0.4591	Bacillus amyloliquefaciens
133374	14	3882439	3.882	1011864	2	264986	0.4641	Bacillus amyloliquefaciens
133375	15	3883546	3.884	1011907	2	264671	0.4641	Bacillus amyloliquefaciens
133376	78	3979730	3.980	455495	4	59925	0.4685	Bacillus amyloliquefaciens
133377	16	3850458	3.850	998102	2	228464	0.4655	Bacillus amyloliquefaciens
133380	3	5370060	5.370	5093554	1	5093554	0.3481	Bacillus anthracis
133381	1	5227293	5.227	5227293	1	5227293	0.3538	Bacillus anthracis
133382	1	5228663	5.229	5228663	1	5228663	0.3538	Bacillus anthracis
133383	3	5503926	5.504	5227419	1	5227419	0.3524	Bacillus anthracis
133384	3	5506763	5.507	5230115	1	5230115	0.3525	Bacillus anthracis
133385	3	5503926	5.504	5227419	1	5227419	0.3524	Bacillus anthracis
133386	30	5488676	5.489	277207	5	136786	0.3522	Bacillus anthracis
133387	42	5370618	5.371	263928	5	82479	0.3535	Bacillus anthracis
133388	52	5488459	5.488	382062	5	83240	0.3521	Bacillus anthracis
133389	64	5470007	5.470	286973	5	50779	0.3515	Bacillus anthracis
133390	44	5511345	5.511	462850	3	61769	0.3520	Bacillus anthracis
133391	49	5504562	5.505	240598	5	90919	0.3519	Bacillus anthracis
133399	3	5495471	5.495	5218947	1	5218947	0.3523	Bacillus anthracis
133400	46	5468377	5.468	222250	6	61535	0.3512	Bacillus anthracis
133402	56	5434529	5.435	331325	5	56849	0.3509	Bacillus anthracis
133403	21	5402970	5.403	1198247	2	176394	0.3512	Bacillus anthracis
133404	3	5002686	5.003	3043655	1	1958656	0.3543	Bacillus anthracis
133405	5	5505136	5.505	4480662	1	747010	0.3524	Bacillus anthracis
133406	44	5174112	5.174	482552	3	102637	0.3521	Bacillus anthracis
133407	50	5173792	5.174	322748	5	95650	0.3521	Bacillus anthracis
133408	39	5175077	5.175	482624	4	127751	0.3522	Bacillus anthracis
133409	2	5410560	5.411	5228828	1	5228828	0.3528	Bacillus anthracis
133410	3	5505446	5.505	5228842	1	5228842	0.3525	Bacillus anthracis
133411	36	5164523	5.165	403394	5	82354	0.3520	Bacillus anthracis
133412	3	5495687	5.496	5219278	1	5219278	0.3523	Bacillus anthracis
133413	3	5504767	5.505	5228314	1	5228314	0.3524	Bacillus anthracis
133414	3	5508663	5.509	5232192	1	5232192	0.3521	Bacillus anthracis
133415	3	5504444	5.504	5227966	1	5227966	0.3524	Bacillus anthracis
133416	3	5487517	5.488	5210966	1	5210966	0.3523	Bacillus anthracis
133417	27	5336801	5.337	516474	5	127567	0.3516	Bacillus anthracis
133418	31	5440708	5.441	440320	4	77364	0.3509	Bacillus anthracis
133419	30	5446472	5.446	868537	3	66567	0.3510	Bacillus anthracis
133420	28	5436014	5.436	868432	3	94662	0.3510	Bacillus anthracis
133421	3	5490124	5.490	5213498	1	5213498	0.3523	Bacillus anthracis
133422	18	5407671	5.408	1771434	2	180969	0.3498	Bacillus anthracis
133423	44	5361934	5.362	918050	2	75865	0.3515	Bacillus anthracis
133424	2	5286989	5.287	5189487	1	5189487	0.3525	Bacillus anthracis
133425	2	5331737	5.332	5236981	1	5236981	0.3534	Bacillus anthracis
133426	1	5229650	5.230	5229650	1	5229650	0.3535	Bacillus anthracis
133427	3	5508355	5.508	5230053	1	5230053	0.3522	Bacillus anthracis
133428	3	5506189	5.506	5229469	1	5229469	0.3525	Bacillus anthracis
133429	3	5460923	5.461	5184202	1	5184202	0.3514	Bacillus anthracis
133430	3	5487716	5.488	5207816	1	5207816	0.3518	Bacillus anthracis
133431	1	5227170	5.227	5227170	1	5227170	0.3537	Bacillus anthracis
133432	1	5225433	5.225	5225433	1	5225433	0.3537	Bacillus anthracis
133433	75	5443372	5.443	450699	5	38561	0.3509	Bacillus anthracis
133434	33	5435540	5.436	1013593	2	94835	0.3508	Bacillus anthracis
133435	51	5445547	5.446	432432	4	62328	0.3509	Bacillus anthracis
133436	48	5431066	5.431	919875	3	58297	0.3509	Bacillus anthracis
133437	44	5449304	5.449	919979	3	60917	0.3509	Bacillus anthracis
133438	34	5449617	5.450	918175	2	94836	0.3508	Bacillus anthracis
133439	54	5274089	5.274	596780	3	45335	0.3518	Bacillus anthracis
133440	46	5353374	5.353	565655	3	58297	0.3510	Bacillus anthracis
133441	35	5449595	5.450	1161725	2	68366	0.3509	Bacillus anthracis
133442	43	5449419	5.449	1124399	3	70180	0.3509	Bacillus anthracis
133443	45	5450315	5.450	1350671	2	58297	0.3508	Bacillus anthracis
133444	53	5447483	5.447	1162464	2	54950	0.3508	Bacillus anthracis
133445	56	5431934	5.432	898864	3	58296	0.3509	Bacillus anthracis
133446	62	5443365	5.443	596579	4	44940	0.3509	Bacillus anthracis
133448	51	5439151	5.439	702508	3	66179	0.3507	Bacillus anthracis
133449	54	5433205	5.433	514334	4	58282	0.3507	Bacillus anthracis
133450	53	5443959	5.444	898741	3	61380	0.3509	Bacillus anthracis
133451	63	5499560	5.500	565935	3	40004	0.3508	Bacillus anthracis
133452	37	5451012	5.451	1162570	2	68388	0.3509	Bacillus anthracis
133453	36	5449259	5.449	918510	3	94852	0.3509	Bacillus anthracis
133454	42	5450531	5.451	1162251	2	58297	0.3509	Bacillus anthracis
133455	3	5503895	5.504	5227410	1	5227410	0.3524	Bacillus anthracis
133456	2	5403381	5.403	5221627	1	5221627	0.3527	Bacillus anthracis
133457	3	5506626	5.507	5229969	1	5229969	0.3525	Bacillus anthracis
133458	3	5504993	5.505	5228730	1	5228730	0.3524	Bacillus anthracis
133459	3	5498337	5.498	5222171	1	5222171	0.3525	Bacillus anthracis
133460	3	5505665	5.506	5230088	1	5230088	0.3525	Bacillus anthracis
133461	2	5294803	5.295	5200082	1	5200082	0.3535	Bacillus anthracis
133462	2	5409120	5.409	5227496	1	5227496	0.3528	Bacillus anthracis
133463	3	5491185	5.491	5214671	1	5214671	0.3523	Bacillus anthracis
133464	3	5487255	5.487	5210596	1	5210596	0.3523	Bacillus anthracis
133465	3	5489869	5.490	5213209	1	5213209	0.3523	Bacillus anthracis
133466	2	5410397	5.410	5228687	1	5228687	0.3528	Bacillus anthracis
133467	3	5601083	5.601	5321900	1	5321900	0.3526	Bacillus anthracis
133468	3	5503972	5.504	5227467	1	5227467	0.3524	Bacillus anthracis
133469	3	5505775	5.506	5229224	1	5229224	0.3524	Bacillus anthracis
133470	3	5505298	5.505	5228731	1	5228731	0.3524	Bacillus anthracis
